职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
高级算法工程师（图像处理）,深圳市云之梦科技有限公司,成长型(A轮),硕士,3-5年,18k-36k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/2735587.html
图像处理工程师,维沃移动通信有限公司,初创型(未融资),本科,3-5年,20k-40k,2000人以上,2017-04-26 18:12:04,https://www.lagou.com/jobs/2265233.html
算法工程师－视觉与图像处理,深圳市阿西莫夫科技有限公司,成长型(A轮),硕士,1-3年,20k-30k,15-50人,2017-05-18 15:03:26,https://www.lagou.com/jobs/1510383.html
图像处理工程师,深圳市茁壮网络股份有限公司,成熟型(D轮及以上),硕士,3-5年,10k-20k,500-2000人,2017-05-16 10:46:34,https://www.lagou.com/jobs/3123950.html
算法工程师（三维图形图像）,西安蒜泥电子科技有限责任公司,成长型(A轮),本科,1-3年,12k-24k,150-500人,2017-05-19 11:21:16,https://www.lagou.com/jobs/2206354.html
算法工程师-图形图像方向,深圳市云智数据服务有限公司,成长型(A轮),本科,3-5年,9k-18k,15-50人,2017-05-14 16:36:50,https://www.lagou.com/jobs/3117855.html
系统研究工程师（图像处理）,深圳迈瑞生物医疗电子股份有限公司,上市公司,硕士,1-3年,10k-20k,2000人以上,2017-04-24 17:37:37,https://www.lagou.com/jobs/3051501.html
Rendering Programmer图像程序员,柳叶刀科技（深圳）有限公司,初创型(天使轮),本科,5-10年,20k-40k,15-50人,2017-05-02 15:25:59,https://www.lagou.com/jobs/2855600.html
基础研发-高级图像研发工程师,深圳市迅雷网络技术有限公司,上市公司,本科,3-5年,15k-30k,500-2000人,2017-05-12 18:21:46,https://www.lagou.com/jobs/2709204.html
图像算法工程师,深圳市菁优网络科技有限公司,上市公司,硕士,1-3年,20k-30k,150-500人,2017-05-19 10:50:38,https://www.lagou.com/jobs/2847989.html
图像处理算法工程师,深圳市速腾聚创科技有限公司,成长型(B轮),硕士,1-3年,15k-30k,50-150人,2017-05-19 14:35:40,https://www.lagou.com/jobs/2829879.html
图像处理算法工程师,深圳市脸萌科技有限公司,成长型(A轮),本科,1-3年,10k-20k,50-150人,2017-05-03 09:55:23,https://www.lagou.com/jobs/2858623.html
图像算法开发工程师,深圳市创客工场科技有限公司,成长型(B轮),硕士,3-5年,20k-35k,150-500人,2017-05-16 17:22:42,https://www.lagou.com/jobs/2707173.html
图像处理算法工程师,深圳市乐士网络有限公司,成长型(不需要融资),本科,3-5年,25k-40k,50-150人,2017-05-20 09:27:52,https://www.lagou.com/jobs/3094072.html
图像算法工程师,深圳市哈博森智能股份有限公司,初创型(未融资),本科,3-5年,15k-20k,150-500人,2017-05-16 18:00:42,https://www.lagou.com/jobs/2736785.html
高级算法工程师（图像处理）,深圳市云之梦科技有限公司,成长型(A轮),硕士,3-5年,18k-36k,50-150人,2017-05-16 17:52:37,https://www.lagou.com/jobs/2735587.html
图像处理工程师,维沃移动通信有限公司,初创型(未融资),本科,3-5年,20k-40k,2000人以上,2017-04-26 18:12:04,https://www.lagou.com/jobs/2265233.html
